eID,ra_e,dec_e,mean_xmmra,mean_xmmdec,number of xmm positions,ra_gaia,dec_gaia,sep_gaia2xmm,Plx,e_Plx,PM,e_pmRA,e_pmDE,Gmag,BPmag,RPmag
3.0,266.85820195792684,-30.04528530603041,266.8586557233642,-30.045182144582306,2.0,266.85905005108,-30.04568542472,2.189216878975793,nan,nan,nan,nan,nan,20.892248,21.764786,20.148151
6.0,265.62582903831014,-28.749153271441756,265.6263026846984,-28.749206928778108,3.0,265.62648156638,-28.74877820511,1.6434314210119412,11.4746,0.02019999921321869,41.42,0.019999999552965164,0.012000000104308128,8.818589,9.175001,8.290958
7.0,265.14401442934246,-29.629433290167448,265.1444286619688,-29.62892883192606,1.0,265.14409100408,-29.6288572319,1.0876130973574574,5.6984,0.021299999207258224,21.971,0.020999999716877937,0.012000000104308128,10.775057,11.258263,10.120471
8.0,264.8799933838939,-29.16467643501755,264.8798154728444,-29.164743008878844,3.0,264.88009737766,-29.16481220687,0.9205431895647227,3.6949,0.0210999995470047,10.191,0.02500000037252903,0.012000000104308128,9.39243,10.175947,8.519119
9.0,264.6090442409929,-29.030389752912544,264.6093824902916,-29.030561419796214,3.0,264.60916615439,-29.03040237703,0.8896773818928818,7.4568,0.26930001378059387,17.848,0.3070000112056732,0.22300000488758087,10.801984,11.168109,10.124734
10.0,266.47532519079766,-31.2507308222176,266.4753372493642,-31.251103935820137,1.0,266.47502689595,-31.25084889139,1.3248952026348335,2.6351,0.015399999916553497,26.252,0.017999999225139618,0.009999999776482582,12.272088,12.963476,11.453588
11.0,265.561809559155,-29.25018712745093,265.5624993751831,-29.249947006854068,3.0,265.56241016157,-29.24975122558,0.7584744691934446,12.8561,0.019099999219179153,46.03,0.023000000044703484,0.012000000104308128,12.060315,13.120809,11.031239
13.0,265.09950570089416,-28.948334692159474,265.0995518368421,-28.94802635826944,4.0,265.09936749863,-28.94801175343,0.5830799854966184,10.9682,0.017500000074505806,39.1,0.01899999938905239,0.010999999940395355,12.354421,13.449726,11.306582
14.0,264.83568348576796,-29.53087649604599,264.83474531502515,-29.530722468462866,3.0,264.83518766686,-29.53097134858,1.6500360780673653,7.5915,0.026499999687075615,14.504,0.029999999329447746,0.017000000923871994,6.485835,6.948744,5.857802
15.0,267.08412614484456,-30.477084287545452,267.084251157337,-30.47672149013087,2.0,267.08507326823,-30.47659543494,2.5907423970868293,6.5725,0.017799999564886093,35.338,0.019999999552965164,0.012000000104308128,10.103974,10.386443,9.657779
16.0,265.4240296579879,-28.558351325672028,265.42394510335936,-28.557052198000502,1.0,265.42425259775,-28.55647050608,2.3088095693912405,9.0354,0.023000000044703484,111.248,0.019999999552965164,0.012000000104308128,12.603847,13.420431,11.710647
17.0,265.49081872887194,-29.09230228956945,265.4911312846954,-29.09300649674244,5.0,265.49128834733,-29.09266283734,1.3321867579957904,7.73,0.016300000250339508,42.962,0.019999999552965164,0.009999999776482582,9.065747,9.283637,8.690882
19.0,265.81630958265134,-31.270145812459383,265.81399221233295,-31.268818323007228,1.0,265.81427611227,-31.26904276766,1.189960070035478,3.0712,0.46889999508857727,21.449,0.578000009059906,0.29100000858306885,13.305029,13.332579,12.125948
20.0,265.84991514543793,-30.355443880690625,265.8507216740023,-30.354556963348006,1.0,265.85136494501,-30.35397986977,2.8826122969504016,2.3771,0.027300000190734863,29.234,0.024000000208616257,0.014999999664723873,11.742316,12.417524,10.934485
21.0,266.0092555513591,-31.142772767663562,266.00824390460815,-31.14084597961918,2.0,266.00831358259,-31.14118240987,1.2300305358113244,1.5056,0.014499999582767487,15.857,0.017000000923871994,0.008999999612569809,12.788001,13.500843,11.964833
22.0,265.06773539221325,-29.0598604177787,265.066778500637,-29.060604625091965,3.0,265.06708994812,-29.06055480117,0.996336139833693,0.7685,0.16169999539852142,3.979,0.23600000143051147,0.1379999965429306,18.391222,19.328943,17.417238
23.0,266.387249089995,-30.98148643972389,266.3886410197925,-30.982380581340024,1.0,266.38861380116,-30.9821897757,0.6920182006119961,10.9548,0.028300000354647636,47.24,0.02800000086426735,0.01899999938905239,8.700712,9.021783,8.210416
24.0,266.75518587826554,-29.219939937209222,266.7532871087518,-29.219652495774433,9.0,266.75356542102,-29.21979991733,1.022885582949958,0.7771,0.09139999747276306,3.546,0.10100000351667404,0.061000000685453415,11.008651,11.71066,10.196183
25.0,265.6053752497588,-29.94696772006289,265.60473628153875,-29.946745989301718,2.0,265.60431338407,-29.946864499,1.3864439411889122,0.5679,0.06430000066757202,1.22,0.06800000369548798,0.039000000804662704,16.29527,17.785278,15.111352
28.0,264.8245005652094,-29.39744827604659,264.8255203323113,-29.39670584673877,2.0,264.82472623237,-29.39667004435,2.4940047980142297,-0.2771,0.4684000015258789,6.824,0.7089999914169312,0.30300000309944153,18.870941,20.40498,17.120903
29.0,265.3906353818955,-28.676139644293272,265.39065993252296,-28.676527186722055,1.0,265.39078278004,-28.67619770155,1.2479955025225553,1.2752,0.2623000144958496,28.625,0.296999990940094,0.1720000058412552,18.746622,19.088282,18.10173
30.0,265.8737553167381,-30.137405191132103,265.87419992505966,-30.136747469009684,1.0,265.87409848104,-30.13657945977,0.6823304491993459,3.7136,0.022199999541044235,13.441,0.02500000037252903,0.014000000432133675,13.970285,14.797711,13.019499
31.0,265.83020323843493,-29.235558118676863,265.8310430480506,-29.23304869668055,1.0,265.83096538715,-29.23329158562,0.9077984142216232,0.2906,0.0544000007212162,1.17,0.05700000002980232,0.032999999821186066,14.35135,17.09784,12.903056
32.0,265.18879120684056,-29.276194910275894,265.1897346876229,-29.276249711347333,3.0,265.18981328684,-29.27622279332,0.26515756985628675,1.8549,0.11940000206232071,11.546,0.11999999731779099,0.09399999678134918,19.129595,19.550243,18.496494
34.0,264.7985218356437,-31.191936649013126,264.7997234357682,-31.1913084657896,1.0,264.79971495752,-31.1916964834,1.3971073894702712,1.492,0.04580000042915344,1.366,0.04699999839067459,0.03400000184774399,13.931034,14.427985,13.248465
35.0,265.00065040410317,-31.19018530529912,264.9981226571698,-31.190122647840745,2.0,264.99811322891,-31.19024971548,0.4583640698649969,1.5848,0.02969999983906746,8.882,0.032999999821186066,0.017999999225139618,14.457564,15.066895,13.698459
36.0,265.45692174714526,-30.437043539075134,265.45697371842977,-30.43530865097931,1.0,265.45675811683,-30.43547555781,0.8993783390088705,2.4722,0.021900000050663948,7.369,0.02500000037252903,0.014000000432133675,13.291159,13.838799,12.585174
38.0,265.40190805331696,-29.426787209876892,265.40354542712026,-29.426221886790685,4.0,265.40325078155,-29.42610598839,1.0137247485850291,2.2728,0.033399999141693115,11.135,0.03799999877810478,0.020999999716877937,14.206399,14.895686,13.381094
39.0,267.40654766471204,-30.414126309652513,267.40608623570677,-30.41478947354718,2.0,267.40618365773,-30.41458351936,0.8007526451607686,0.6522,0.024800000712275505,5.279,0.020999999716877937,0.014999999664723873,11.763808,12.598621,10.865076
40.0,266.1108893820709,-29.059109565534627,266.1103398025871,-29.05815854699166,10.0,266.11048402865,-29.05805035679,0.5980689505079143,5.9314,0.04769999906420708,33.126,0.052000001072883606,0.029999999329447746,13.976003,14.785971,13.052264
